datetime,bitmex-XRP/BTC-position-in-USD,bitmex-EOS/BTC-position-in-USD,cash
2019-05-02 17:05:00-04:00,-803.33754904,-809.2819592,0.6451820289463711
2019-05-02 17:10:00-04:00,-803.03757236,-808.7945144000001,0.6451820289463711
2019-05-02 17:15:00-04:00,-803.3614096,-809.5154400000001,0.6451820289463711
2019-05-02 17:20:00-04:00,-802.99844964,-809.34720615,0.6451820289463711
2019-05-02 17:25:00-04:00,-801.62195328,-809.0279952,0.6451820289463711
2019-05-02 17:30:00-04:00,-802.7385764349999,-810.0094588000001,0.6451820289463711
2019-05-02 17:35:00-04:00,-802.6637569199999,-807.8924231999999,0.6451820289463711
2019-05-02 17:40:00-04:00,-802.19783112,-807.0814338000001,0.6451820289463711
2019-05-02 17:45:00-04:00,-802.1229713000001,-807.4695419999999,0.6451820289463711
2019-05-02 17:50:00-04:00,-802.05386166,-806.0618063999999,0.6451820289463711
2019-05-02 17:55:00-04:00,-802.8401316,-807.588393,0.6451820289463711
2019-05-02 18:00:00-04:00,-800.85430425,-805.0689075,0.6451820289463711
2019-05-02 18:05:00-04:00,-800.9237094599999,-805.643181,0.6451820289463711
2019-05-02 18:10:00-04:00,-797.3955172399999,-798.9136540000001,0.6451820289463711
2019-05-02 18:15:00-04:00,-796.7766474,-791.436594,0.6451820289463711
2019-05-02 18:20:00-04:00,-798.5394806200001,-793.7691011000001,0.6451820289463711
2019-05-02 18:25:00-04:00,-795.93755104,-793.5086496,0.6451820289463711
2019-05-02 18:30:00-04:00,-795.65036448,-793.4161984,0.6451820289463711
2019-05-02 18:35:00-04:00,-795.8148088800001,-794.1951136,0.6451820289463711
2019-05-02 18:40:00-04:00,-795.37865504,-794.1391135000001,0.6451820289463711
2019-05-02 18:45:00-04:00,-795.3579113999999,-793.8223332,0.6451820289463711
2019-05-02 18:50:00-04:00,-797.3846080200001,-794.5455078000001,0.6451820289463711
2019-05-02 18:55:00-04:00,-797.10274172,-794.9716413999998,0.6451820289463711
2019-05-02 19:00:00-04:00,-798.9860062800001,-799.2805697,0.6451820289463711
2019-05-02 19:05:00-04:00,-795.9552315,-800.05926,0.6451820289463711
2019-05-02 19:10:00-04:00,-795.5099418599999,-798.59176155,0.6451820289463711
2019-05-02 19:15:00-04:00,-795.35251053,-796.84740255,0.6451820289463711
2019-05-02 19:20:00-04:00,-795.5841568,-797.368072,0.6451820289463711
2019-05-02 19:25:00-04:00,-796.2520912599999,-798.5943392500001,0.6451820289463711
2019-05-02 19:30:00-04:00,-795.3702984700001,-797.9988732500001,0.6451820289463711
2019-05-02 19:35:00-04:00,-795.3913242450001,-799.0216751999999,0.6451820289463711
2019-05-02 19:40:00-04:00,-795.06650625,-800.80835,0.6451820289463711
2019-05-02 19:45:00-04:00,-793.89046009,-800.7503777000001,0.6451820289463711
2019-05-02 19:50:00-04:00,-794.400869175,-800.8811829999999,0.6451820289463711
2019-05-02 19:55:00-04:00,-794.2492820699999,-800.5829309999999,0.6451820289463711
2019-05-02 20:00:00-04:00,-794.26363065,-801.0864907499999,0.6451820289463711
2019-05-02 20:05:00-04:00,-795.70547485,-804.0681025000001,0.6451820289463711
2019-05-02 20:10:00-04:00,-794.5385913599999,-802.5948864,0.6451820289463711
2019-05-02 20:15:00-04:00,-795.1303493700001,-804.2728134,0.6451820289463711
2019-05-02 20:20:00-04:00,-794.4572155650001,-801.23492475,0.6451820289463711
2019-05-02 20:25:00-04:00,-794.67304884,-801.160578,0.6451820289463711
