datetime,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-fill,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,fee,total,total-in-USD,returns,equity_curve,drawdown
2019-01-03 08:58:00,1.3611588220743958,1.3611588220743964,5288.10202375903,3885.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5288.10202375903,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:59:00,1.3611588220743958,1.3611588220743964,5292.185500225253,3888.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5292.185500225253,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:00:00,1.3611588220743958,1.3611588220743964,5292.185500225253,3888.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5292.185500225253,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:01:00,1.3611588220743958,1.3611588220743964,5292.86607963629,3888.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5292.86607963629,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:02:00,1.3611588220743958,1.3611588220743964,5293.546659047328,3889.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5293.546659047328,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:03:00,1.3611588220743958,1.3611588220743964,5288.10202375903,3885.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5288.10202375903,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:04:00,1.3611588220743958,1.3611588220743964,5290.143761992142,3886.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5290.143761992142,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:05:00,1.3611588220743958,1.3611588220743964,5293.546659047328,3889.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5293.546659047328,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:06:00,1.3611588220743958,1.3611588220743964,5294.227238458365,3889.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5294.227238458365,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:07:00,1.3611588220743958,1.3611588220743964,5296.268976691476,3891.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5296.268976691476,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:08:00,1.3611588220743958,1.3611588220743964,5295.5883972804395,3890.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5295.5883972804395,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:09:00,1.3611588220743958,1.3611588220743964,5295.5883972804395,3890.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5295.5883972804395,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:10:00,1.3611588220743958,1.3611588220743964,5290.143761992142,3886.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5290.143761992142,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 09:11:00,1.3611588220743958,1.3611588220743964,5290.824341403179,3887.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5290.824341403179,0.0,1.0026295883399996,0.00010982706000017828
