datetime,bitmex-BTC/USD-fill,bitmex-BTC/USD-price,bitmex-ETH/USD-fill,bitmex-ETH/USD-price,cash,commission,total,bitmex-BTC/USD,bitmex-ETH/USD,returns,equity_curve,drawdown
2019-03-28 13:06:00,,3999.5,,140.45,107347.21962697613,1840.3575388270422,107389.48081468692,-107274.16666304793,107316.42785075872,0.0005506255135259153,1.0738948081468713,0.0
2019-03-28 13:07:00,,4000.5,,140.47,107347.21962697613,1840.3575388270422,107377.94071848312,-107300.9885574505,107331.70964895749,-0.0001074602104065292,1.0737794071848334,0.00011540096203788153
2019-03-28 13:08:00,,4001.0,,140.47,107347.21962697613,1840.3575388270422,107364.52977128184,-107314.39950465178,107331.70964895749,-0.00012489480717869927,1.0736452977128206,0.00024951043405074813
2019-03-28 13:09:00,,4001.5,,140.47,107347.21962697613,1840.3575388270422,107351.11882408056,-107327.81045185306,107331.70964895749,-0.0001249104078400176,1.0735111882408077,0.00038361990606361474
2019-03-28 13:10:00,,4001.5,,140.48,107347.21962697613,1840.3575388270422,107358.75972317993,-107327.81045185306,107339.35054805686,7.117670670853116e-05,1.0735875972318014,0.00030721091506991094
2019-03-28 13:11:00,,4001.0,,140.48,107347.21962697613,1840.3575388270422,107372.17067038121,-107314.39950465178,107339.35054805686,0.00012491712120987764,1.0737217067038143,0.00017310144305704434
2019-03-28 13:12:00,,3998.5,,140.48,107347.21962697613,1840.3575388270422,107439.22540638762,-107247.34476864537,107339.35054805686,0.0006245075943585032,1.0743922540638784,0.0
2019-03-28 13:13:00,BUY,3998.5,SELL,140.47,107431.81268710812,1847.7702581065441,107431.81268710812,0.0,0.0,-6.89945339000797e-05,1.0743181268710833,7.412719279509261e-05
2019-03-28 13:14:00,,3997.0,,140.47,107431.81268710812,1847.7702581065441,107431.81268710812,0.0,0.0,0.0,1.0743181268710833,7.412719279509261e-05
2019-03-28 13:15:00,,3997.5,,140.47,107431.81268710812,1847.7702581065441,107431.81268710812,0.0,0.0,0.0,1.0743181268710833,7.412719279509261e-05
